Id,Abbreviation,Description,IsActive,User
2,PA,PAXOS - ANTIPAXOS,1,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
3,BL,BLUE LAGOON,1,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
5,,AQUALAND,2,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
9,,SAFARI CRUISE,1,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
12,,B.B.Q,1,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
15,,GRAND ISLAND,2,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
17,,CORFU BY NIGHT,1,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
18,,GREEK NIGHT,2,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
22,,CORFU BY DAY,2,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
23,,ALBANIA,2,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
24,CS,CORFU SUNSET CRUISE,1,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
25,,OLYMPIC FLAME,1,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
26,,OLYMPIC FLAME,2,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
27,,CORFU BY NIGHT,2,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
28,,CORFU DELIGHT,1,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
29,,PARGA-PAXOS,1,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
30,,MOONLIGHT,1,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
31,,TRANSFER BLUE LAGOON,2,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
32,,ALBANIA,1,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
34,,TRANSFER,2,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
36,,SCHOOL TRANSFER,2,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
37,,KALYPSO STAR,2,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
38,,AIRPORT TRANSFER,2,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
39,,AQUALAND TRANSFER,1,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
40,,BOOZE CRUISE,1,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
41,,SCUBA DIVING,2,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
42,,OLIKH NAYLOSH,1,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
43,,SUNSET BLUE LAGOON,1,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
44,PAC,PAXOS - ANTIPAXOS - SPACE SAFE,1,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
45,BL,BLUE LAGOON-SPACE SAFE,1,b6401c3e-7683-49bc-bb7f-8be3b2fd2210
,,,,
